wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T07:03:44.183864-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,1402.47,16552.0,1380.62,96283.0,1395.86,25735.0,1423.27,18790.0,1407.86,7754.0,1399.58,11095.0,1400.22,7084.0,1400.65,4374.0,1395.62,5348.0,1395.6,12498.0,1402.75,37306.0,1396.38,29964.0,1397.44,6687.0,1399.01,8096.0,1402.16,44446.0
2026-08-12T07:33:55.112375-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,1402.47,16552.0,1380.62,96283.0,1395.86,25735.0,1423.27,18790.0,1407.86,7754.0,1399.58,11095.0,1400.22,7084.0,1400.65,4374.0,1395.62,5348.0,1395.6,12498.0,1402.75,37306.0,1396.38,29964.0,1397.44,6687.0,1399.01,8096.0,1402.16,44446.0
2026-08-12T08:04:06.040196-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,1402.47,16552.0,1380.62,96283.0,1395.86,25735.0,1423.27,18790.0,1407.86,7754.0,1399.58,11095.0,1400.22,7084.0,1400.65,4374.0,1395.62,5348.0,1395.6,12498.0,1402.75,37306.0,1396.38,29964.0,1397.44,6687.0,1399.01,8096.0,1402.16,44446.0
2026-08-12T08:34:16.888066-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,1402.47,16552.0,1380.62,96283.0,1395.86,25735.0,1423.27,18790.0,1407.86,7754.0,1399.58,11095.0,1400.22,7084.0,1400.65,4374.0,1395.62,5348.0,1395.6,12498.0,1402.75,37306.0,1396.38,29964.0,1397.44,6687.0,1399.01,8096.0,1402.16,44446.0
2026-08-12T09:04:27.882019-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,1402.47,16552.0,1380.62,96283.0,1395.86,25735.0,1423.27,18790.0,1407.86,7754.0,1399.58,11095.0,1400.22,7084.0,1400.65,4374.0,1395.62,5348.0,1395.6,12498.0,1402.75,37306.0,1396.38,29964.0,1397.44,6687.0,1399.01,8096.0,1402.16,44446.0
2026-08-12T09:34:38.583100-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,1402.47,16552.0,1380.62,96283.0,1395.86,25735.0,1423.27,18790.0,1407.86,7754.0,1399.58,11095.0,1400.22,7084.0,1400.65,4374.0,1395.62,5348.0,1395.6,12498.0,1402.75,37306.0,1396.38,29964.0,1397.44,6687.0,1399.01,8096.0,1402.16,44446.0
2026-08-12T10:04:49.623918-04:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,1380.62,96283.0,1395.86,25735.0,1423.27,18790.0,1407.86,7754.0,1399.58,11095.0,1400.22,7084.0,1400.65,4374.0,1395.62,5348.0,1395.6,12498.0,1402.75,37306.0,1396.38,29964.0,1397.44,6687.0,1399.01,8096.0,1402.16,44446.0,1446.43,33506.0
2026-08-12T10:35:00.476557-04:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,1395.86,25735.0,1423.27,18790.0,1407.86,7754.0,1399.58,11095.0,1400.22,7084.0,1400.65,4374.0,1395.62,5348.0,1395.6,12498.0,1402.75,37306.0,1396.38,29964.0,1397.44,6687.0,1399.01,8096.0,1402.16,44446.0,1444.72,43481.0,1442.7,16267.0
2026-08-12T11:05:11.513181-04:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,1423.27,18790.0,1407.86,7754.0,1399.58,11095.0,1400.22,7084.0,1400.65,4374.0,1395.62,5348.0,1395.6,12498.0,1402.75,37306.0,1396.38,29964.0,1397.44,6687.0,1399.01,8096.0,1402.16,44446.0,1444.72,43481.0,1444.58,23150.0,1432.29,12628.0
2026-08-12T11:35:22.381127-04:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,1407.86,7754.0,1399.58,11095.0,1400.22,7084.0,1400.65,4374.0,1395.62,5348.0,1395.6,12498.0,1402.75,37306.0,1396.38,29964.0,1397.44,6687.0,1399.01,8096.0,1402.16,44446.0,1444.72,43481.0,1444.58,23150.0,1429.62,17261.0,1435.82,8880.0
