wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T07:03:47.368060-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,97.81,5830833.0,97.33,5884133.0,97.43,3772693.0,97.85,3688522.0,96.85,4205705.0,97.21,3517667.0,97.38,3418773.0,97.11,4063938.0,97.41,3588255.0,97.71,11225927.0
2026-08-12T07:33:58.317075-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,97.81,5830833.0,97.33,5884133.0,97.43,3772693.0,97.85,3688522.0,96.85,4205705.0,97.21,3517667.0,97.38,3418773.0,97.11,4063938.0,97.41,3588255.0,97.71,11225927.0
2026-08-12T08:04:09.244880-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,97.81,5830833.0,97.33,5884133.0,97.43,3772693.0,97.85,3688522.0,96.85,4205705.0,97.21,3517667.0,97.38,3418773.0,97.11,4063938.0,97.41,3588255.0,97.71,11225927.0
2026-08-12T08:34:20.085356-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,97.81,5830833.0,97.33,5884133.0,97.43,3772693.0,97.85,3688522.0,96.85,4205705.0,97.21,3517667.0,97.38,3418773.0,97.11,4063938.0,97.41,3588255.0,97.71,11225927.0
2026-08-12T09:04:31.106636-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,97.81,5830833.0,97.33,5884133.0,97.43,3772693.0,97.85,3688522.0,96.85,4205705.0,97.21,3517667.0,97.38,3418773.0,97.11,4063938.0,97.41,3588255.0,97.71,11225927.0
2026-08-12T09:34:41.861456-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,97.81,5830833.0,97.33,5884133.0,97.43,3772693.0,97.85,3688522.0,96.85,4205705.0,97.21,3517667.0,97.38,3418773.0,97.11,4063938.0,97.41,3588255.0,97.71,11225927.0
2026-08-12T10:04:52.844058-04:00,,,,,,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,,,,,,,,,,,97.33,5884133.0,97.43,3772693.0,97.85,3688522.0,96.85,4205705.0,97.21,3517667.0,97.38,3418773.0,97.11,4063938.0,97.41,3588255.0,97.71,11225927.0,102.24,19359151.0
2026-08-12T10:35:03.701060-04:00,,,,,,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,,,,,,,,,,,97.43,3772693.0,97.85,3688522.0,96.85,4205705.0,97.21,3517667.0,97.38,3418773.0,97.11,4063938.0,97.41,3588255.0,97.71,11225927.0,101.5,24718020.0,101.0,7249135.0
2026-08-12T11:05:14.741758-04:00,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,,,,,,,,,,,97.85,3688522.0,96.85,4205705.0,97.21,3517667.0,97.38,3418773.0,97.11,4063938.0,97.41,3588255.0,97.71,11225927.0,101.5,24718020.0,101.03,9745998.0,101.42,4639774.0
2026-08-12T11:35:25.585483-04:00,,,,,,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,,,,,,,,,,,96.85,4205705.0,97.21,3517667.0,97.38,3418773.0,97.11,4063938.0,97.41,3588255.0,97.71,11225927.0,101.5,24718020.0,101.03,9745998.0,100.71,7044176.0,100.86,3110411.0
