wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T07:03:48.470968-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,40.65,259086.0,40.73,1095857.0,41.2,214759.0,41.31,200570.0,41.96,236501.0,41.61,129516.0,41.48,85738.0,41.75,96621.0,42.06,141957.0,41.98,162253.0,42.02,184323.0,41.85,152946.0,42.12,289600.0,42.15,245257.0,42.12,708274.0
2026-08-12T07:33:59.427482-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,40.65,259086.0,40.73,1095857.0,41.2,214759.0,41.31,200570.0,41.96,236501.0,41.61,129516.0,41.48,85738.0,41.75,96621.0,42.06,141957.0,41.98,162253.0,42.02,184323.0,41.85,152946.0,42.12,289600.0,42.15,245257.0,42.12,708274.0
2026-08-12T08:04:10.368049-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,40.65,259086.0,40.73,1095857.0,41.2,214759.0,41.31,200570.0,41.96,236501.0,41.61,129516.0,41.48,85738.0,41.75,96621.0,42.06,141957.0,41.98,162253.0,42.02,184323.0,41.85,152946.0,42.12,289600.0,42.15,245257.0,42.12,708274.0
2026-08-12T08:34:21.322346-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,40.65,259086.0,40.73,1095857.0,41.2,214759.0,41.31,200570.0,41.96,236501.0,41.61,129516.0,41.48,85738.0,41.75,96621.0,42.06,141957.0,41.98,162253.0,42.02,184323.0,41.85,152946.0,42.12,289600.0,42.15,245257.0,42.12,708274.0
2026-08-12T09:04:32.222513-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,40.65,259086.0,40.73,1095857.0,41.2,214759.0,41.31,200570.0,41.96,236501.0,41.61,129516.0,41.48,85738.0,41.75,96621.0,42.06,141957.0,41.98,162253.0,42.02,184323.0,41.85,152946.0,42.12,289600.0,42.15,245257.0,42.12,708274.0
2026-08-12T09:34:42.994794-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,40.65,259086.0,40.73,1095857.0,41.2,214759.0,41.31,200570.0,41.96,236501.0,41.61,129516.0,41.48,85738.0,41.75,96621.0,42.06,141957.0,41.98,162253.0,42.02,184323.0,41.85,152946.0,42.12,289600.0,42.15,245257.0,42.12,708274.0
2026-08-12T10:04:53.976046-04:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,40.73,1095857.0,41.2,214759.0,41.31,200570.0,41.96,236501.0,41.61,129516.0,41.48,85738.0,41.75,96621.0,42.06,141957.0,41.98,162253.0,42.02,184323.0,41.85,152946.0,42.12,289600.0,42.15,245257.0,42.12,708274.0,41.28,144333.0
2026-08-12T10:35:04.862766-04:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,41.2,214759.0,41.31,200570.0,41.96,236501.0,41.61,129516.0,41.48,85738.0,41.75,96621.0,42.06,141957.0,41.98,162253.0,42.02,184323.0,41.85,152946.0,42.12,289600.0,42.15,245257.0,42.12,708274.0,41.1,182558.0,41.66,196642.0
2026-08-12T11:05:15.852578-04:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,41.31,200570.0,41.96,236501.0,41.61,129516.0,41.48,85738.0,41.75,96621.0,42.06,141957.0,41.98,162253.0,42.02,184323.0,41.85,152946.0,42.12,289600.0,42.15,245257.0,42.12,708274.0,41.1,182558.0,41.55,233930.0,41.31,114884.0
2026-08-12T11:35:26.716525-04:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,41.96,236501.0,41.61,129516.0,41.48,85738.0,41.75,96621.0,42.06,141957.0,41.98,162253.0,42.02,184323.0,41.85,152946.0,42.12,289600.0,42.15,245257.0,42.12,708274.0,41.1,182558.0,41.55,233930.0,41.26,205594.0,41.34,255561.0
